category,electricity generation,residential,commercial,industrial,transportation,year
solar,0.0175,0.14,0,0,0,2011
nuclear,8.26,0,0,0,0,2011
hydro,3.15,0,0,0.0179,0,2011
wind,1.17,0,0,0,0,2011
geothermal,0.163,0.0396,0.0197,0,0,2011
natural gas,7.74,4.83,3.23,8.32,0,2011
coal,18,0,0.0512,1.61,0,2011
biomass,0.444,0.43,0.11,2.27,1.15,2011
petroleum,0.288,1.14,0.683,8.06,25.1,2011
electicity generation,,4.86,4.5,3.33,0.026,2011
rejected energy,26.6,2.29,1.72,4.72,20.3,2011
energy services,,9.15,6.87,18.9,6.76,2011
solar,0.0408,0.193,0,0,0,2012
nuclear,8.05,0,0,0,0,2012
hydro,2.67,0,0,0.018,0,2012
wind,1.36,0,0,0,0,2012
geothermal,0.163,0.0396,0.0197,0,0,2012
natural gas,9.31,4.26,2.96,8.7,0,2012
coal,15.9,0,0.0433,1.48,0,2012
biomass,0.0429,0.42,0.109,2.2,1.16,2012
petroleum,0.218,1.02,0.632,8.12,24.7,2012
electicity generation,,4.69,4.52,3.35,0.0256,2012
rejected energy,25.7,3.72,2.9,4.77,21.1,2012
energy services,,6.9,5.39,19.1,5.6,2012
solar,0.0849,0.232,0,0,0,2013
nuclear,8.27,0,0,0,0,2013
hydro,2.53,0,0,0.032,0,2013
wind,1.59,0,0,0,0,2013
geothermal,0.157,0.0197,0.0197,0,0,2013
natural gas,8.34,5.05,3.36,9.08,0,2013
coal,16.5,0,0.0454,1.5,0,2013
biomass,0.465,0.42,0.112,2.25,1.24,2013
petroleum,0.262,0.893,0.477,8.58,24.9,2013
electicity generation,,4.75,4.57,3.26,0.0257,2013
rejected energy,25.8,3.98,3.01,4.94,21.3,2013
energy services,,7.39,5.58,19.8,5.66,2013
solar,0.17,0.252,0,0,0,2014
nuclear,8.33,0,0,0,0,2014
hydro,2.44,0,0,0.0257,0,2014
wind,1.73,0,0,0,0,2014
geothermal,0.159,0.0197,0.0197,0,0,2014
natural gas,8.37,5.2,3.55,9.46,0,2014
coal,16.4,0,0.047,1.51,0,2014
biomass,0.507,0.58,0.119,2.3,1.27,2014
petroleum,0.294,0.945,0.561,8.16,24.8,2014
electicity generation,,4.79,4.63,3.26,0.0265,2014
rejected energy,25.8,4.12,3.13,4.95,21.4,2014
energy services,,7.66,5.81,19.8,5.68,2014
solar,0.23,0.13,0.06,0.01,0,2015
nuclear,8.34,0,0,0,0,2015
hydro,2.31,0,0,0.01,0,2015
wind,1.78,0,0,0,0,2015
geothermal,0.15,0.04,0.02,0,0,2015
natural gas,9.93,4.77,3.31,9.44,0,2015
coal,14.1,0,0.03,1.38,0,2015
biomass,0.53,0.43,0.15,2.28,1.33,2015
petroleum,0.28,1.03,0.88,8.18,25.2,2015
electicity generation,,4.79,4.64,3.37,0.03,2015
rejected energy,24.9,3.92,3.18,12.6,21.6,2015
energy services,,7.28,5.91,12.1,5.74,2015
solar,0.34,0.16,0.07,0.02,0,2016
nuclear,8.42,0,0,0,0,2016
hydro,2.46,0,0,0.01,0,2016
wind,2.11,0,0,0,0,2016
geothermal,0.16,0.04,0.02,0,0,2016
natural gas,10.3,4.54,3.24,9.61,0,2016
coal,13,0,0.02,1.23,0,2016
biomass,0.51,0.39,0.15,2.28,1.43,2016
petroleum,0.24,1.02,0.88,8.12,25.7,2016
electicity generation,,4.8,4.64,3.19,0.03,2016
rejected energy,24.9,3.83,3.16,12.5,22,2016
energy services,,7.12,5.86,12,5.86,2016
solar,0.48,0.19,0.08,0.02,0,2017
nuclear,8.42,0,0,0,0,2017
hydro,2.75,0,0,0.01,0,2017
wind,2.35,0,0,0,0,2017
geothermal,0.15,0.04,0.02,0,0,2017
natural gas,9.54,4.58,3.29,9.84,0,2017
coal,12.7,0,0.02,1.24,0,2017
biomass,0.52,0.33,0.16,2.48,1.43,2017
petroleum,0.21,0.88,0.83,8.38,25.9,2017
electicity generation,,4.7,4.6,3.23,0.03,2017
rejected energy,24.7,3.75,3.15,12.9,22.2,2017
energy services,,6.97,5.84,12.4,5.91,2017
solar,0.61,0.22,0.1,0.03,0,2018
nuclear,8.44,0,0,0,0,2018
hydro,2.67,0,0,0.01,0,2018
wind,2.53,0,0,0,0,2018
geothermal,0.15,0.04,0.02,0,0,2018
natural gas,11,5.15,3.61,10.4,0.87,2018
coal,12.1,0,0.02,1.2,,2018
biomass,0.5,0.52,0.15,2.55,1.41,2018
petroleum,0.24,0.96,0.85,8.86,26,2018
electicity generation,,5,4.7,3.25,0.03,2018
rejected energy,25.3,4.16,3.31,13.4,22.4,2018
energy services,,7.72,6.14,12.9,5.95,2018
solar,0.48,0.19,0.08,0.02,0,2019
nuclear,8.42,0,0,0,0,2019
hydro,2.75,0,0,0.01,0,2019
wind,2.35,0,0,0,0,2019
geothermal,0.15,0,0.02,0,0,2019
natural gas,9.54,4.58,3.29,9.84,0.76,2019
coal,12.7,0,0.02,1.24,0,2019
biomass,0.52,0.33,0.16,2.48,1.43,2019
petroleum,0.21,0.88,0.83,8.38,25.9,2019
electicity generation,,4.7,4.6,3.23,0.03,2019
rejected energy,24.7,3.75,3.15,12.9,22.2,2019
energy services,,6.97,5.84,12.4,5.91,2019
